Name,Street,City,Region,Postal Code,Phone,Fax,Email,Invoice Style
Granite ClaimsSolutions,"Global Adjusters & Marine Surveyors
Suite 300, 5915 Airport Road",Mississauga,ON,L4V 1T1,(905) 740-2161,,,Generic Invoice
Graves Richard Harris LLP,"55 King st Suite 702
P.O. Box 1690",St Catharines,ON,L2R 7K1,,,,Generic Invoice
Graves Richard Harris LLP,Suite 511-30 Duke St. W,Kitchener,ON,N2H 3W5,,,,Generic Invoice
Great West Life,255 Dufferin Ave,London,ON,N6A 4K1,(800) 263-5742,,,AISI Invoice
Great West Life,"Place Bonaventure
Suite 5800
800 de La Gauchetiere West",Montreal,QC,H5A 1B9,(800) 663-2817,,,Generic Invoice
Great West Life,"Management Service Office
330 University Ave.",Toronto,ON,M5G 1R8,(416) 552-6851,,,Generic Invoice
Great West Life,55 Town Centre Street Suite 400,Scarborough,ON,M1P 5B5,(416) 279-5633,(416) 290-3779,,Generic Invoice
GREAT WEST LIFE,"1 King St W, Suite 801",Hamilton,ON,L8P 4X9,(905) 383-7879,(905) 383-3779,,Generic Invoice
Great West Life,"Suite 1400, 300 5th Ave SW",Calgary,ON,T2P 2L7,(866) 221-8524 Ext. 6803,(403) 234-7565,,Generic Invoice
Great West Life,"11 HOLLAND AVE, SUITE 300",OTTAWA,ON,K1Y 4W4,1-800-283-5375,,,Generic Invoice
Great West Life,1901 Scarth Street,Regina,ON,S4P 4L4,,,,Generic Invoice
Great West Life,400-55 Town Centre Court,Scarborough,ON,M1P 5B5,,,,Generic Invoice
Great West Life - DMSO,"PO Box 1055 
100 Osborne St N",Winnipeg,ON,R3C 2X4,,,,Generic Invoice
Great West Life Assurance,"Group Claims Department
PO Box 4408 ",Regina,SK,S4P 3W7,(866) 289-5675,,,Generic Invoice
Great West Life Assurance,"Health and Dental Benefits
PO Box 4076 Station A",Toronto,ON,M5W 3A3,(800) 461-6090,,,Generic Invoice
Great West Life Assurance,"P.O. Box 158, Station “M”",Halifax,NS,B3J 3V2,,,,Generic Invoice
Great West Life Assurance Co,PO Box 3050 Station Main,Winnipeg,MB,R3C 0E6,(800) 957-9777,,,Generic Invoice
Great West Life Assurance Company,Suite 900-1075 West Georgia Street,Vancouver,BC,V6E 4N4,,,,Generic Invoice
Great-West Life Assurance Company,"Montreal Disability Management Services
2001 University Street",Montreal,QC,H3A 1T9,,,,Generic Invoice
Great-West Life Assurance Company,PO BOX 62,ASTORVILLE,ON,P0H 1B0,,,,Generic Invoice
Great-West Life Assurance Company,10110-104 St.,Edmonton,AB,T5J 4R5,,,,Generic Invoice
Green Shield Canada,PO Box 1623,Windsor,ON,N9A 7B3,(888) 711-1119,,,AISI Invoice
Grenville Mutual Insurance Company,"3005 County Road 21, P.O. Box 10",Spencerville,ON,K0E 1X0,,,,Generic Invoice
GRILLO BARRISTERS ,3200 Dufferin St Suite 300,Toronto,ON,M6A 3B2,,,,Generic Invoice
GRILLONE LAW FIRM,21 Four Seasons Place Suite 600,Toronto ,ON,M9B 6J8,,,,Generic Invoice
Group Insurance Certificate,49 Industrial Drive,Elmira,ON,N3B 3B1,(519) 669-1632,(519) 669-1923,,Generic Invoice
GSNH Goldman Sloan Nash & Haber LLP,"480 University Avenue, Suite 1600",Toronto,ON,M5G 1V6,(416) 597-9922,(416) 597-3370,,Generic Invoice
Guarantee Company of North America,954 Dundas Street East,Woodstock,ON,N4S 7Z9,(800) 361-7096 Ext. 2705,(519) 539-2569,,AISI Invoice
Guardian Group,"1 Guardian Drive, Westmoorings
110612",Trinidad & Tobago,,,,,,Generic Invoice
Guelph General Hospital,115 Delhi Street,Guelph,ON,N1E 4J4,(519) 837-6440 X2765,(519) 837-6780,,Generic Invoice
Haliburton Kawartha Pine Ridge District Health Unit,200 Rose Glen Ave,Port Hope,ON,L1A 3V6,,,,Generic Invoice
Halton District School Board,JW Singleton Center 2050 Guelph Line,Burlington,ON,L7P 5A8,,,,Generic Invoice
Halton District School Board,PO Box 5005 STN LCD 1,Burlington,ON,L7R 3Z2,,,,Generic Invoice
Halton District School Board,3250 New Street,Burlongton,ON,L7N 1M8,,,,Generic Invoice
Hamilton International Airport,9300 Airport Road,Mount Hope,ON,,,,,Generic Invoice
Hamilton Wentworth District School Board,100 Main Street West,Hamilton,ON,L8P 1H6,,,,Generic Invoice
Hamilton Wentworth District School Board,20 Education Court,Hamilton,ON,L9A 0B9,(905) 527-5092 x 224,,,Generic Invoice
Hanford Lumbar Limited,45 Bethridge Road,Toronto,ON,M9W 1M9,(416) 743-5384,(416) 743-8193,,Generic Invoice
Harris Law Personal Injury Lawyers,"30 Duke Street West, Suite 701",Kitchener,ON,N2H 3W5,,,,Generic Invoice
Havergal College,1451 Avenue Rd,Toronto,ON,M5N 2H9,,,,Generic Invoice
Himelfarb,,,ON,,,,,Generic Invoice
Himelfarb Proszanski,480 University Ave Suite 1401,Toronto,ON,M5G 1V2,(416) 599-8080,,,Generic Invoice
Hopewell Logistics,9050 Airport Rd Ste 201,Brampton,ON,L6S 6G9,,,,Generic Invoice
Hopewell Logistics Inc.,255 Chrysler Drive,Brampton,ON,L6S 6C8,,,,Generic Invoice
Hotel-Dieu Grace Hosptial,1030 Ouellette Avenue,Windsor,ON,N9A 1E1,,,,Generic Invoice
"HOWIE, SACKS & HENRY LLP","401 BAY STREET, SUITE 2800
PO BOX 4",TORONTO,ON,M5H 2Y4,(416) 361-5990,(416) 361-0083,PSAHADEO@HSHLAWYERS.COM,Generic Invoice
Humber College,"Humber Institute of Technology & Advanced Learning , Room D225
205 Humber College Blvd.",Toronto,ON,M9W 5L7,,,,Generic Invoice
Humber College,"3199 Lake Shore Blvd West, Cottage D, D206A",Toronto,ON,M8V 1K8,,,,Generic Invoice
Humber College - School of Social and Community Services ,"3199 Lake Shore Blvd West, C205",Toronto,ON,M8V 1K8,,,,Generic Invoice
Humber College Sailing & Power Boating Centre,100 HUmber Bay Park Rd. West,Toronto,ON,M8V 3X7,(416) 252-7291,(416) 252-5393,tim.kendall@humber.ca,Generic Invoice
Humber Institute of Technology & Advanced Learning ,,,ON,,,,,Generic Invoice
Industrial Alliance Ins & Financial Inc.,PO Box 4643 Station A,Toronto,ON,M5W 5E3,(416) 585-8921,,,AISI Invoice
ING Insurance Company,"700 University Avenue, 16th Floor ",Toronto,ON,M5G 0A1,(416) 466-8500,(416) 440-4129,,AISI Invoice
Intact Financial Corporation,6925 Century Avenue#900,Mississauga,ON,L5N 0E3,,,,Generic Invoice
Intact Insurance,"700 University Avenue
16th Floor",Toronto,ON,M5G 1Z5,(416) 440-8500 Ext. 42514,,,AISI Invoice
Intact Insurance,1033 Barrydowne Rd. Ste. 206,Sudbury,ON,P3A 5Z9,,,,Generic Invoice
Intact Insurance,59 Westney Rd,Ajax,ON,L1S 2C9,,,,Generic Invoice
Intact Insurance,300-1400 St. Laurent Blvd,Ottawa,,K1K 4H4,,,,Generic Invoice
Intact Insurance,250 York Street,London,ON,N6A 6K2,,,,Generic Invoice
Intact Insurance - Accident Benefits Claims Representative II,"59 Westney Road South, Unit 8",AJAX,ON,L1S 2C9,1-866-386-0200,(905) 686-6728,yuvarna.yogalingam@intact.net ,Generic Invoice
J. W. Singleton Education Centre,2050 Guelph Line,Burlington,ON,L7P 5A8,,,,Generic Invoice
J.B. DONNELLY BARISTER AND SOLICITOR,1165 A ST CLAIR AVENUE WEST SUITE 201,TORONTO,ON,M6E 1B2,(416) 653-0311,(416) 653-6653,JBD@BDONNELLY.COM,Generic Invoice
James Pitcher Profession Corporation,420 Weber St North,Waterloo,ON,N2L 4E7,,,,Generic Invoice
Jane Conte Professional Corporation,711 Brock St. S,Whitby,ON,L1N 4L3,,,,Generic Invoice
JEVCO,922 THE EAST MALL SUITE 101,TORONTO,ON,M9B 6K1,(416) 362-0800,(416) 362-1808,,AISI Invoice
Jevco Insurance Company,"4 Robert Speck Parkway
Suite 100",Mississauga,ON,L4Z 1S1,,,,Generic Invoice
JEWELL RADIMISIS JORGE LLP,"4665 Yonge Street, Suite 204",Toronto,ON,M2N 0B4,(416) 862-7028,(416) 862-2135,,Generic Invoice
JEWISH FAMILY & CHILD,,,ON,,(416) 961-9344,,,Generic Invoice
Johnson Inc,1595 16th Ave #700,Richmond Hill,ON,L4B 3S5,1-866-773-5467,,,Generic Invoice
Johnson Law Offices (Johnson Haghani) ,2200-4950 Yonge Street ,Toronto,ON,M2N 6K1,(416) 364-0777,(416) 352-5174,,Generic Invoice
JOSEPH SIDIROPOULOS,"317 ADELAIDE STREET WEST, SUITE 1001",TORONTO,ON,M5V 1P9,(416) 979-9771,(888) 431-9296,,Generic Invoice
Joseph Sidiropoulos B&S,317 Adelaide st W Suite 1001,Toronto,ON,M5V 1P9,,,,Generic Invoice
Kahler Personal Injury Law,5775 Yonge St Suite 1800,Toronto,ON,M2M 4J1,(416) 739-7700,,,Generic Invoice
Karmax Heavy Stamping,333 Market Drive ,Milton,ON,L9T 4Z7,(905) 220-6852,,,Generic Invoice
KEVIN WOLF PROFESSIONAL CORPORATION,"165 AVENUE ROAD, SUITE 401",TORONTO,ON,M5R 3S4,(416) 365-1211,(416) 365-1218,,Generic Invoice
Keyfacts Life and Health Inc,"895 Don Mills Road, suite 104, Tower 2",Toronto,ON,M3C 1W3,,,,Generic Invoice
KING DUFFERIN FAMILY MEDICAL CLINIC,"1209 KING STREET WEST, UNIT 5",TORONTO,ON,M6K 1G2,(416) 536-2500,,,Generic Invoice
Kingsway General Insurance,"7120 Hurontario Street, Suite 700",Mississauga,ON,L5W 0B1,(905) 629-7888,(905) 629-5008,,AISI Invoice
Kitchen Simeson Law Firm LLP,"86 Simcoe Street South, PO Box 428",Oshawa,ON,L1H 7L5,,,,Generic Invoice
KRMC,"25 SHEPPARD AVE WEST
SUITE 1100",TORONTO,ON,M6J 3S3,(416) 218-9585,(416) 225-6943,,Generic Invoice
KRMC,"25 SHEPPARD AVE WEST
SUITE 1100",TORONTO,ON,M6J 3S3,(416) 225-8750,,,Generic Invoice
"KRONIS, ROTHSTAIN, MARGLES, CAPPEL","25 SHEPPARD AVE WEST, STE 700",TORONTO,ON,M2N 6S6,(416) 225-8750,(416) 225-6943,,Generic Invoice
L.V. Lomas Limited,99 Sumerlea Road,Brampton,ON,L6T 4V2,,,,Generic Invoice
La Capitale Insurance & Financial Services Inc.,7150 Derrycrest Drive,Mississauga,ON,L5W 0E5,1-888-816-9874,(905) 795-2313,,Generic Invoice
Lawrence H. Calenti Professional Corporation,451 Dupont Street,Toronto,ON,M5R 1W5,,,,Generic Invoice
LAXTON GLASS LLP ,390 BAY STREET SUITE 200,TORONTO,ON,M5H 2B1,(416) 363-2353,(416) 363-7112,,Generic Invoice
LCBO,2460 Stanfield Road,Mississauga,ON,L4Y 1S2,(905) 949-3513,,,Generic Invoice
LCBO,2000 Boundry Road,Whitby,ON,L1N 1S7,(905) 723-3417,(905) 579-0496,,Generic Invoice
LCBO,"55 Lakeshore Blvd, East",Toronto,ON,M5E 1A4,,,,Generic Invoice
LCBO,1100 Dearness Dr.,London,ON,N6E 1N9,,,,Generic Invoice
LCBO District 21 Office,174 Catharine Street,North Hamilton,ON,L8L 4S5,905 521 8502,(905) 521-1351,,Generic Invoice
Ledroit Beckett LLP,630 Richmond St,London,ON,N6A 3G3,(519) 673-4994 Ext. 15,,,Generic Invoice
"Legacy Law, P.A.",2810 SW 87th Ste. 903,Davie,FL,33328,(407) 929-6497,(954) 206-0246,,Generic Invoice
Leo J. Dillon Professional Corporation,"845 St. Clair Ave. West, 4th floor.",Toronto,ON,M6C 1C3,(416) 653-3819,,,Generic Invoice
Lerners LLP,80 Dufferin Ave,London,ON,N6A 4G4,,,,Generic Invoice
Les Centres d'Accueil Heritage,33 Hahn Place,Toronto,ON,M5A 4G2,(416) 365-3350 Ext. 262,,,Generic Invoice
Leuschen Brothers Limited,1151 Lorne St,Sudbury,ON,P3C 4T1,,,,Generic Invoice
LEVINTER & LEVINTER,"1 Richmond Street West
Suite 901",Toronto,ON,M5H 3W4,(416) 863-1930,(416) 361-6168,,Generic Invoice
Libyan Medical Committee in Canada,207-601 Harwood Avenue South ,Ajax,ON,L1S 3M1,,,,Generic Invoice
Libyan Medical Committee in Canada - East,207-601 Harwood Avenue South ,Ajax,ON,L1S 3M1,,,,Generic Invoice
Libyan Medical Committee in Canada - West,207-601 Harwood Avenue South ,Ajax,ON,L1S 3M1,,,,Generic Invoice
Litem Legal Services,1018 Finch Ave west Suite 300,Toronto,ON,M3J 3L5,,,,Generic Invoice
Little Morello Vettese Segreto LLP,1111 Creditstone Rd.,Vaughan,ON,L4K 4N7,(905) 660-7950,,,Generic Invoice
Loblaw Inc.,,,ON,,,,,Generic Invoice
Local 183 Trust Administration C/O Benefit Plan Administrators Ltd,1263 Wilson Ave. Suite 205,North York,ON,M3M 3G2,(416) 240-7487,,,AISI Invoice
LOFRANCO CHAGPAR CORREIRO PERSONAL INJURY LAWYERS,"4515 EBENEZER ROAD, SUITE 104",BRAMPTON,ON,L6P 2K7,(416) 223-8333,(416) 223-3404,,Generic Invoice
LOFRANCO CORRIERO,4950 YING ST SYUTE 600 P.O. BOX 174,NORTH YORK,ON,M2N 6H1,(416) 223-8333,,,Generic Invoice
LOMBARD CANADA,105 ADELAIDE STREET WEST 5TH FLOOR,TORONTO,ON,M5H 1P9,(416) 350-4640,(416) 350-4180,,AISI Invoice
M&M Insurance Broking Services Ltd,"39 Brissiere Village, Maraval 
P.O. Box 951, Port of Spain
Trinidad & Tobago",,,,,,,Generic Invoice
MacIsaac and Co. Barristers and Solicitors,3rd Fl. 1117 Wharf Street,Victoria,ON,V8W 1T7,,,,Generic Invoice
"Manion, Wilkins & Associates Ltd",626 - 21 Four seasons Place,Etobicoke,ON,M9B 0A6,(416) 234-3511,,,AISI Invoice
Manufactures Life Insurance,"2 Queen Street East, BOX 4606 Stn A",Toronto,ON,M5W 4Z2,(416) 687-4455,,,Generic Invoice
Manulife Financial,PO Box 1030,Halifax,NS,B3J 2X5,(800) 563-3274,,,AISI Invoice
Manulife Financial,2 Queen Street East 4th Floor PO Box 4606,Toronto,ON,M5W 4Z2,,,,Generic Invoice
Manulife Financial,"Disability Claims
P.O. Box 395, Place D’Armes",Montreal,QC,H2Y 3H1,,,,Generic Invoice
Manulife Financial - Customer Service Center,"600 Weber Street North
Delivery Station 600-G-C1000",Waterloo,ON,N2V 1K4,,,,Generic Invoice
Manulife Financial Group Life and Disability,"25 Water Street South
PO BOX 800",Kitchener,ON,N2G 4Y5,1-877-481-9169,(519) 579-3680,linda_stendel@manulife.com,Generic Invoice
Manulife Financial Health Claims,"PO Box 4214, Station A",Waterloo,ON,M5W 5M4,(800) 268-3763,,,AISI Invoice
Maplehurst Correctional Complex,"P.O. Box 10, 661 Martin Street",Milton,ON,L9T 2Y3,(905) 878-8141 Ext. 2213,(905) 878-5363,,Generic Invoice
March of Dimes Canada,50 King street East,Hamilton,ON,L8N 1A6,(905) 522-2253 Ext. 4323,(905) 522-2351,,Generic Invoice
March of Dimes Canada (pls do not use),"1550 Upper James
Suite 302",Hamilton,ON,L9B 2L6,,,,Generic Invoice
Margo Conlon and Associated Ltd.,"PO Box 21033
Campus Postal Outlet",Guelph,ON,N1G 4T3,,,,Generic Invoice
MARINE INSURANCE SERVICES,PO BOX 224,MIDLAND,ON,M9P 3R9,(705) 526-9541,(705) 526-1294,,Generic Invoice
MAZO CHOWBAY,"4711 YONGE ST, SUITE 704",TORONTO,ON,M2N 6K8,(416) 621-9111,,,Generic Invoice
McCague Borlack,"130 King Street West, ste2700 P.O.BOX 136",TORONTO,ON,M5X 1C7,(416) 860-7733,(416) 860-0003,,Generic Invoice
MCLARENS,5915 AIRPORT ROAD SUITE 300,MISSISSAUGA,ON,L4V 1T1,(416) 252-4431,,,AISI Invoice
McLEISH ORLANDO LLP,"1 QUEEN STREET EAST SUITE 1620, BOX 76",TORONTO,ON,M5C 2C5,(416) 366-3311,(416) 366-3330,pbrown@mcleishorlando.com,Generic Invoice
McNally/Gervan LLP,302 Waverly Street,Ottawa,ON,K2P 0W3,,,,Generic Invoice
MED-R,", 4th Floor",Las Vegas,NV,89101,(888) 400-4767,(702) 380-4286,,Generic Invoice
Medavie Blue Cross,185 The West Way Suite #1200 P.O. Box 200,Etobicoke,ON,M9C 5P1,(416) 626-2682 X2699,(416) 626-0400,,Generic Invoice
MEDAVIE BLUE CROSS,185 The West Mall Suite 1200 PO BOX 2000,Etobicoke,ON,M9C 5P1,(416) 626-2682,(416) 626-9481,,Generic Invoice
Medavie Blue Cross - Veteran Affair,"644 Main Street
PO Box 220",Monton,NB,E1C 8L3,,,,Generic Invoice
Medisys Health Group,"365 Evans Ave, Suite L5",Toronto,ON,M8Z 1K2,,,,Generic Invoice
Mimico Correctional Centre,130 Horner Ave,Etobicoke,ON,M8Z 4X8,(416) 314-9670,(416) 314-9606,,Generic Invoice
Mining Technologies International Inc.,"P.O. Box 2097, Stn. ‘A’",Sudbury,ON,P3A 4R8,,,,Generic Invoice
Ministry of Attorney General,"60 Queen St. West, 1st floor",Toronto,ON,M5H 2M4,(416) 327-5896,,,Generic Invoice
Ministry of Attorney General,47 Sheppard Ave. East ,Toronto,ON,M2N 0H2,,,,Generic Invoice
Ministry of Attorney General,155 Elm Street,Sudbury,ON,P3C 1T9,(705) 564-7769,(705) 564-7890,,Generic Invoice
Ministry of Attorney General - HR Strategic Business Unit,"720 Bay Street, 3rd floor",Toronto,ON,M7A 2S9,(416) 326-2466,,sydney.tran@ontario.ca,Generic Invoice
Ministry of Community & Social Services,"1201 Wilson Ave., Building B 5th floor",Downsview,ON,M3M 1J8,,,,Generic Invoice
Ministry of Community & Social Services,80 Grosvenor St 6th Floor ,Toronto,ON,M7A 1E9,,,,Generic Invoice
Ministry of Community & Social Services,720 Birchmount Road,Toronto,ON,M1E 5H3,(416) 325-0101,,,Generic Invoice
Ministry of Community & Social Services,"2 Bloor St West, 25th Floor",Toronto,ON,M7A 1E9,,,,Generic Invoice
Ministry of Community & Social Services,900 Bay St. McDonald Block M1-52,Toronto,ON,M7A 2E3,,,,Generic Invoice
Ministry of Community & Social Services,34 Simcoe St 2nd Floor,Barrie,ON,L4N 6T4,,,,Generic Invoice
Ministry of Community and Social Services,850 King St. West,Oshawa,ON,L1J 2L5,,,,Generic Invoice
Ministry of Community and Social Services,"Family Reponsibility Office
P.O Box 220",Downsview,ON,M3M 3A3,,,,Generic Invoice
"Ministry of Community and Social Services - Social Assistance Operations Division, Disability Adjudication Unit",2 Bloor Street West  Floor 11,Toronto,ON,M4W 3E2,,,,Generic Invoice
"Ministry of Community and Social Services, Central East Region, Ontario Disability Support Program","17310 Yonge Street, Unit 1",Newmarket,ON,L3Y 7R8,,,,Generic Invoice
Ministry of Community Safety & Corr.  Services,"Central East Correctional Centre
541 Hwy 36, PO Box 450",Lindsay,ON,K9V 4S6,,,,Generic Invoice
Ministry of Community Safety & Corr. Service,181 Elm Street West,Sudbury,ON,P3C 1T8,(705) 564-4147,(705) 564-4157,,Generic Invoice
Ministry of Community Safety & Corr. Service,"Emergency Management Ontario
77 Wellesley Street West
Box 222",Toronto,ON,M7A 1N3,,,,Generic Invoice
Ministry of Community Safety & Corr. Service,"Toronto Detention Centre
55 Civic Road",Toronto,ON,M1L 2K9,,,,Generic Invoice
Ministry of Community Safety & Corr. Service,25 Grosvenor Street 11th Floor,Toronto,ON,M7A 1Y6,,,,Generic Invoice
Ministry of Community Safety & Corr. Service,1090 Speers Road,Oakville,ON,L6L 2X4,(905) 845-8571,(905) 845-9516,,Generic Invoice
Ministry of Community Safety & Corr. Service,"Central East Correctional Centre
541 Hwy 36, PO Box 4500",Lindsay,ON,K9V 4S6,(705) 328-6009,(705) 328-6011,,Generic Invoice
Ministry of Community Safety & Corr. Service,700 N. Christina St.,Sarnia,ON,N7V 3C2,,,,Generic Invoice
Ministry of Community Safety & Corr. Service,2nd Floor 1355 Upper Lane,Thorald,ON,L2V 4A6,,,,Generic Invoice
Ministry of Community Safety & Corr. Service,"Ste 200
109 Railside Road",Don Mills,ON,M3A 1B2,,,,Generic Invoice
Ministry of Community Safety & Corr. Service,160 Horner Ave,Toronto,ON,M8Z 4X8,,,,Generic Invoice
Ministry of Community Safety & Corr. Service,"PO Box 4950
111 Disco Road",Rexdale,ON,M9W 5L6,(416) 675-1806 Ext. 4225,(416) 675-2745,,Generic Invoice
Ministry of Community Safety & Corr. Service,2244 Innes rd,Ottawa,ON,K1B 4C4,(613) 824-6080 Ext. 200,,,Generic Invoice
Ministry of Community Safety & Corr. Service,"SLVCTC/Brockville Jail 1804 Hwy#2 east, PO Box 8000",Brockville,ON,K6V 5W7,,,,Generic Invoice
Ministry of Community Safety & Corr. Service,"Toronto South Detention Centre
160 Horner Ave",Toronto,ON,M8Z 0C2,,,,Generic Invoice
Ministry of Economical Developement and Trade,"Investment and Trade Division
250 Yonge St, 35th floor",Toronto,ON,M7A 2H1,,,,Generic Invoice
Ministry of Education,"900 Bay Street
19th floor, Mowat Block",Toronto,ON,M7A 1L2,,,,Generic Invoice
Ministry of Energy and Infrastructure,7 Queens Park  Cr. East,Toronto,ON,M7A 1Y7,,,,Generic Invoice
Ministry of Entrepreneurship and Youth Partnership,56 Wellesley St W 5th floor,Toronto,ON,M7A 2E7,,,,Generic Invoice
Ministry of Enviornment,230 Westney Road South 5th Floor,Ajax,ON,L1S 7J5,,,,Generic Invoice
Ministry of Environment,40 St Clair Ave West,Toronto,ON,M4V 1M2,(416) 314-1108,(416) 314-9313,,Generic Invoice
Ministry of Environment,3232 White Oak Road,London,ON,N6E 1L8,,,,Generic Invoice
Ministry of Environment,"135 St. Clair Avenur West, 11th floor",Toronto,ON,,(416) 327-9536,,,Generic Invoice
Ministry of Evaluation and Training Office,"Bldg A Lower Level Rm B-051
1201 Wilson Ave",Toronto,ON,M3M 1J8,,,,Generic Invoice
Ministry of Finance,"95 Grosvenor Street
3rd Floor",Toronto,ON,M7A 1Z1,(416) 212-1440,,,Generic Invoice
Ministry of Finance,40 St Clair Ave West,Toronto,ON,M4V 1M2,(416) 314-9209,(416) 314-9220,,Generic Invoice
Ministry of Finance - Ontario Internal Audit Division,"777 Bay St., 25th Floor",Toronto,ON,M5G 2E5,,,,Generic Invoice
Ministry of Government and Consumer Services,199 Larch Street,Sudbury,ON,P3E 5P9,,,,Generic Invoice
Ministry of Government HROntario,777 Memorial Avenue,Orillia,ON,L3V 7V3,,,,Generic Invoice
Ministry of Government Services,"77 Wellesley St W 9th floor, Ferguson Block",Toronto,ON,M7A 1N3,,,,Generic Invoice
Ministry of Government Services,25 Heakes Lane,Kingston,ON,K7M 9B1,,,,Generic Invoice
Ministry of Government Services,,,ON,,,,,Generic Invoice
Ministry of Government Services,,,ON,,,,,Generic Invoice
"Ministry of Government Services - Centre for Employee Health, Safety and Wellness","77 Wellesley Street W, 7 Floor",Toronto,ON,M7A 1N3,,,,Generic Invoice
"Ministry of Government Services - Centre for Employee Health, Safety and Wellness","777 Memorial Ave, 1st Floor",Orillia,ON,L3V 7V3,,,,Generic Invoice
"Ministry of Government Services - Centre for Employee Health, Safety and Wellness - Health and Safety Services","33 King Street West, 2nd Floor",Oshawa,ON,L1H 8H5,(905) 433-6114,,,Generic Invoice
Ministry of Government Services - Employee Relations Division - HR Ontario,"231 Dundas St., 2nd floor",London,ON,N6A 1H1,,,,Generic Invoice
Ministry of Government Services - EQAO,"2 Carlton Street, Suite 1200",Toronto,ON,M5B 2M9,,,,Generic Invoice
Ministry of Government Services - Family Responsibility Office,"1201 Wilson Avenue (Building B) , Downsview ",Toronto,ON,M3M 1J8,,,,Generic Invoice
Ministry of Health and Long Term Care,"5700 Yonge Street, 7the Floor",Toronto,ON,M2M 4K5,,,,Generic Invoice
Ministry of Health and Long Term Care,"430A Brittania Road East 
Floor 1 Mississauga ON
L4Z 1X9",,ON,,,,,Generic Invoice
Ministry of Health and Long Termcare,"1075 Bay St. , 13the Floor",Toronto,ON,M5S 2B1,,,,Generic Invoice
Ministry of Health and Long-Term Care,"159 Cedar Street, Suite 402",Sudbury,ON,P3E 6A5,,,,Generic Invoice
Ministry of Health and Long-Term Care,"5700 Yonge St, 9th Floor",Toronto,ON,M2M 4K5,,,,Generic Invoice
Ministry of Health and Long-Term Care,"Consent and Capacity Board
151 Bloor Street West, 10th Floor",Toronto,ON,M5S 2T5,(416) 327-2853,,,Generic Invoice
Ministry of Health and Long-Term Care,80 Grosvenor Street 8th Floor,Toronto,ON,M7A 1R3,,,,Generic Invoice
Ministry of Health and Long-Term Care,"Corporate Services Division
151 Bloor Street West, 10th Floor",Toronto,ON,M5S 2T5,,,,Generic Invoice
Ministry of Labour,"60 Wilson Ave
3rd Floor, Suite 303",Timmins,ON,P4N 2S7,(705) 268-3454,(705) 267-3633,,Generic Invoice
Ministry of Labour,"33 King Street West, 2nd Floor",Oshawa,ON,L1H 8H5,,,,Generic Invoice
Ministry of Labour,"505 University Ave, 19th Floor",Toronto,ON,M7A 1T7,,,,Generic Invoice
Ministry of Labour,5001 Yonge St Suite 1600,Toronto,ON,M7A 0A3,,,,Generic Invoice
Ministry of Labour,"123 Edward Street, Suite 1300",Toronto,ON,M5G 1E2,,,,Generic Invoice
Ministry of Labour,400 University Ave 9th Floor,Toronto,ON,M7A 1T7,(416) 325-8634,,,Generic Invoice
Ministry of Labour,2275 Midland Ave Unit 1,Toronto,ON,M1P 3E7,,,,Generic Invoice
"Ministry of Labour, Labour Relations Solutions Division, Dispute Resolution Services Branch, Collective Bargaining Unit",400 University Avenue,Toronto,ON,M7A 1T7,,,,Generic Invoice
Ministry of Municipal Affairs and Housing,"777 Bay St, 16th Floor",Toronto,ON,M5G 2E5,,,,Generic Invoice
Ministry of Municipal Affairs and Housing,777 Bay St. 2nd floor,Toronto,ON,M5G 2E5,,,,Generic Invoice
Ministry Of Revenue,"33 King Street West, 7th floor",Oshawa,ON,L1H 8H5,(905) 433-6605,,,Generic Invoice
Ministry Of Revenue,55 Athol St.,Oshawa,ON,L1H 1J8,,,,Generic Invoice
Ministry of Revenue ,"77 City Centre Drive, 2nd floor  L5B 1M5  ",Mississauga,ON,L5B 1M5,,,,Generic Invoice
Ministry of Revenue ,231 Dundas St ,London,ON,N6A 1H1,,,,Generic Invoice
Ministry of Revenue,200-5 Park Home Avenue,Toronto,ON,M2N 6W8,,,,Generic Invoice
Ministry Of Revenue – Internal Audit,"777 Bay Street, 2nd floor, Suite 2400",Toronto,ON,M5G 2E5,,,,Generic Invoice
Ministry of the Attorney,,,ON,,,,,Generic Invoice
Ministry of the Attorney General,595 Bay St. Suite 800,Toronto,ON,M5G 2M6,(416) 314-3505,,,Generic Invoice
Ministry of the Attorney General,7305 Woodbine Ave. Suite 780,Markham,ON,L3R 3V7,,,,Generic Invoice
Ministry of the Attorney General,1091 Gorham Street Floor 2,New Market,ON,L3Y 8X7,(905) 836-1853,,,Generic Invoice
Ministry Of The Attorney General,"393 University Avenue, 19th Floor",Toronto,ON,M5G 1E6,(416) 327-7497,,,Generic Invoice
Ministry of the Attorney General,"1000 Finch Ave West, Floor 1",North York,ON,M3J 2V5,,,,Generic Invoice
Ministry of the Attorney General,"720 Bay Street, 9th Floor",Toronto,ON,M5G 2K1,,,,Generic Invoice
Ministry of the Attorney General,"20 Dundas Street West
Floor 5",Toronto,ON,M5G 2C2,,,,Generic Invoice
Ministry of the Attorney General - FRO,"444 Yonge Street, 2nd Floor
Toronto, ON",,ON,M5B 2H7,,,,Generic Invoice
Ministry of Tourism and Culture,777 Bay St. 6th Floor,Toronto,ON,M7A 2J4,(416) 326-7067,(416) 326-7079,,Generic Invoice
